,number,pos_match_num,group_match_num,field_match_num,pos_match_per,group_match_per,field_match_per,datetime_start,datetime_complete,duration,alpha,beta,gamma,k,only_content_feature,top_n_feature,top_n_target,window_size,state
93,93,441.0,113.0,75.0,0.55125,0.14125,0.09375,2022-08-03 18:42:09.374725,2022-08-03 18:47:59.027188,0 days 00:05:49.652463,0.4,0.8,0.2,100,False,3000,1000,2,COMPLETE
94,94,475.0,68.0,47.0,0.47690763052208834,0.06827309236947791,0.04718875502008032,2022-08-03 18:47:59.028392,2022-08-03 18:52:31.068145,0 days 00:04:32.039753,0.4,0.6000000000000001,0.6,100,True,3000,500,3,COMPLETE
95,95,786.0,141.0,96.0,0.5208747514910537,0.09343936381709742,0.0636182902584493,2022-08-03 18:52:31.076107,2022-08-03 19:02:24.951101,0 days 00:09:53.874994,0.4,0.4,0.6,100,True,2000,1000,3,COMPLETE
96,96,1895.0,226.0,130.0,0.4993412384716733,0.05955204216073781,0.034255599472990776,2022-08-03 19:02:24.952612,2022-08-03 19:44:23.610144,0 days 00:41:58.657532,0.6,0.8,0.6,100,False,3000,1000,2,COMPLETE
97,97,786.0,141.0,96.0,0.5208747514910537,0.09343936381709742,0.0636182902584493,2022-08-03 19:44:23.616777,2022-08-03 19:53:33.293362,0 days 00:09:09.676585,0.4,0.6000000000000001,0.6,100,True,3000,1000,3,COMPLETE
98,98,475.0,68.0,47.0,0.47690763052208834,0.06827309236947791,0.04718875502008032,2022-08-03 19:53:33.295239,2022-08-03 19:57:41.378967,0 days 00:04:08.083728,0.4,0.4,0.4,100,True,3000,500,3,COMPLETE
99,99,7.0,3.0,3.0,0.2916666666666667,0.125,0.125,2022-08-03 19:57:41.379290,2022-08-03 20:02:13.529032,0 days 00:04:32.149742,0.2,0.8,0.2,100,True,2000,1000,2,COMPLETE
100,100,1281.0,123.0,62.0,0.4552238805970149,0.04371002132196162,0.02203269367448472,2022-08-03 20:02:13.531383,2022-08-03 20:24:59.449732,0 days 00:22:45.918349,0.6,0.6000000000000001,0.6,100,False,3000,1000,3,COMPLETE
101,101,441.0,113.0,75.0,0.55125,0.14125,0.09375,2022-08-03 20:24:59.452503,2022-08-03 20:31:35.585737,0 days 00:06:36.133234,0.4,0.8,0.4,100,True,3000,1000,2,COMPLETE
102,102,475.0,68.0,47.0,0.47690763052208834,0.06827309236947791,0.04718875502008032,2022-08-03 20:31:35.588042,2022-08-03 20:36:28.429963,0 days 00:04:52.841921,0.4,0.8,0.6,100,True,3000,500,3,COMPLETE
103,103,22.0,7.0,7.0,0.38596491228070173,0.12280701754385964,0.12280701754385964,2022-08-03 20:36:28.431048,2022-08-03 20:41:30.660954,0 days 00:05:02.229906,0.2,0.8,0.6,100,False,2000,1000,3,COMPLETE
104,104,786.0,141.0,96.0,0.5208747514910537,0.09343936381709742,0.0636182902584493,2022-08-03 20:41:30.661524,2022-08-03 20:51:51.943767,0 days 00:10:21.282243,0.4,0.6000000000000001,0.4,100,True,3000,1000,3,COMPLETE
105,105,441.0,113.0,75.0,0.55125,0.14125,0.09375,2022-08-03 20:51:51.945270,2022-08-03 20:57:48.393034,0 days 00:05:56.447764,0.4,0.4,0.6,100,True,3000,1000,2,COMPLETE
106,106,37.0,4.0,1.0,0.053857350800582245,0.005822416302765648,0.001455604075691412,2022-08-03 20:57:48.393865,2022-08-03 21:02:15.305351,0 days 00:04:26.911486,0.6,0.6000000000000001,0.6,100,False,3000,500,3,COMPLETE
107,107,441.0,113.0,75.0,0.55125,0.14125,0.09375,2022-08-03 21:02:15.307700,2022-08-03 21:07:55.341307,0 days 00:05:40.033607,0.4,0.8,0.2,100,True,3000,1000,2,COMPLETE
